0 I 6826 <6825, 5> <6827, 5>
870  L 4906 870 <4905, 4> <4907, 3>
871  L 4907 871 <4906, 3> <4908, 5>
873  L 4908 873 <4907, 5> <4909, 4>
875  L 4909 875 <4908, 4> <4910, 1>
876  L 4910 876 <4909, 1> <4911, 4>
878  L 4911 878 <4910, 4> <4912, 3>
880  L 4912 880 <4911, 3> <4913, 4>
882  L 4913 882 <4912, 4> <4914, 2>
883  L 4914 883 <4913, 2> <4915, 4>
884  L 4915 884 <4914, 4> <4916, 3>
886  L 4916 886 <4915, 3> <4917, 1>
888  L 4917 888 <4916, 1> <4918, 4>
890  L 4918 890 <4917, 4> <4919, 1>
892  L 4919 892 <4918, 1> <4920, 3>
893  L 4920 893 <4919, 3> <4921, 4>
895  L 4921 895 <4920, 4> <4922, 5>
896  L 4922 896 <4921, 5> <4923, 2>
898  L 4923 898 <4922, 2> <4924, 4>
899  L 4924 899 <4923, 4> <4925, 2>
900  L 4925 900 <4924, 2> <4926, 2>
902  L 4926 902 <4925, 2> <4927, 2>
903  L 4927 903 <4926, 2> <4928, 1>
905  L 4928 905 <4927, 1> <4929, 5>
907  L 4929 907 <4928, 5> <4930, 3>
908  L 4930 908 <4929, 3> <4931, 1>
909  L 4931 909 <4930, 1> <4932, 5>
911  L 4932 911 <4931, 5> <4933, 5>
912  L 4933 912 <4932, 5> <4934, 4>
914  L 4934 914 <4933, 4> <4935, 4>
916  L 4935 916 <4934, 4> <4936, 5>
917  L 4936 917 <4935, 5> <4937, 5>
918  L 4937 918 <4936, 5> <4938, 3>
920  L 4938 920 <4937, 3> <4939, 1>
921  L 4939 921 <4938, 1> <4940, 1>
923  L 4940 923 <4939, 1> <4941, 1>
925  L 4941 925 <4940, 1> <4942, 1>
926  L 4942 926 <4941, 1> <4943, 5>
927  L 4943 927 <4942, 5> <4944, 4>
928  L 4944 928 <4943, 4> <4945, 6>
929  L 4945 929 <4944, 6> <4946, 4>
930  L 4946 930 <4945, 4> <4947, 3>
932  L 4947 932 <4946, 3> <4948, 5>
933  L 4948 933 <4947, 5> <4949, 2>
934  L 4949 934 <4948, 2> <4950, 2>
935  L 4950 935 <4949, 2> <4951, 2>
937  L 4951 937 <4950, 2> <4952, 3>
939  L 4952 939 <4951, 3> <4953, 6>
941  L 4953 941 <4952, 6> <4954, 2>
942  L 4954 942 <4953, 2> <4955, 2>
943  L 4955 943 <4954, 2> <4956, 4>
945  L 4956 945 <4955, 4> <4957, 1>
947  L 4957 947 <4956, 1> <4958, 5>
948  L 4958 948 <4957, 5> <4959, 6>
949  L 4959 949 <4958, 6> <4960, 5>
950  L 4960 950 <4959, 5> <4961, 2>
952  L 4961 952 <4960, 2> <4962, 2>
954  L 4962 954 <4961, 2> <4963, 5>
955  L 4963 955 <4962, 5> <4964, 2>
957  L 4964 957 <4963, 2> <4965, 5>
958  L 4965 958 <4964, 5> <4966, 4>
960  L 4966 960 <4965, 4> <4967, 2>
961  L 4967 961 <4966, 2> <4968, 1>
963  L 4968 963 <4967, 1> <4969, 1>
964  L 4969 964 <4968, 1> <4970, 5>
966  L 4970 966 <4969, 5> <4971, 5>
967  L 4971 967 <4970, 5> <4972, 3>
968  L 4972 968 <4971, 3> <4973, 1>
969  L 4973 969 <4972, 1> <4974, 3>
970  L 4974 970 <4973, 3> <4975, 2>
971  L 4975 971 <4974, 2> <4976, 2>
973  L 4976 973 <4975, 2> <4977, 5>
975  L 4977 975 <4976, 5> <4978, 2>
976  L 4978 976 <4977, 2> <4979, 1>
977  L 4979 977 <4978, 1> <4980, 4>
978  L 4980 978 <4979, 4> <4981, 4>
979  L 4981 979 <4980, 4> <4982, 5>
980  L 4982 980 <4981, 5> <4983, 2>
981  L 4983 981 <4982, 2> <4984, 5>
983  L 4984 983 <4983, 5> <4985, 3>
985  L 4985 985 <4984, 3> <4986, 1>
986  L 4986 986 <4985, 1> <4987, 2>
987  L 4987 987 <4986, 2> <4988, 2>
989  L 4988 989 <4987, 2> <4989, 2>
991  L 4989 991 <4988, 2> <4990, 1>
992  L 4990 992 <4989, 1> <4991, 1>
993  L 4991 993 <4990, 1> <4992, 5>
995  L 4992 995 <4991, 5> <4993, 6>
996  L 4993 996 <4992, 6> <4994, 5>
997  L 4994 997 <4993, 5> <4995, 4>
999  L 4995 999 <4994, 4> <4996, 6>
1000  L 4996 1000 <4995, 6> <4997, 2>
1002  L 4997 1002 <4996, 2> <4998, 5>
1003  L 4998 1003 <4997, 5> <4999, 5>
1004  L 4999 1004 <4998, 5> <5000, 1>
1005  L 5000 1005 <4999, 1> <5001, 4>
1007  L 5001 1007 <5000, 4> <5002, 3>
1009  L 5002 1009 <5001, 3> <5003, 2>
1011  L 5003 1011 <5002, 2> <5004, 1>
1012  L 5004 1012 <5003, 1> <5005, 5>
1013  L 5005 1013 <5004, 5> <5006, 4>
1014  L 5006 1014 <5005, 4> <5007, 2>
1015  L 5007 1015 <5006, 2> <5008, 4>
1016  L 5008 1016 <5007, 4> <5009, 3>
1017  L 5009 1017 <5008, 3> <5010, 1>
1018  L 5010 1018 <5009, 1> <5011, 4>
1019  L 5011 1019 <5010, 4> <5012, 3>
1020  L 5012 1020 <5011, 3> <5013, 4>
1022  L 5013 1022 <5012, 4> <5014, 5>
1023  L 5014 1023 <5013, 5> <5015, 3>
1025  L 5015 1025 <5014, 3> <5016, 1>
1026  L 5016 1026 <5015, 1> <5017, 2>
1027  L 5017 1027 <5016, 2> <5018, 3>
1029  L 5018 1029 <5017, 3> <5019, 3>
1031  L 5019 1031 <5018, 3> <5020, 4>
1033  L 5020 1033 <5019, 4> <5021, 5>
1034  L 5021 1034 <5020, 5> <5022, 1>
1036  L 5022 1036 <5021, 1> <5023, 2>
1038  L 5023 1038 <5022, 2> <5024, 5>
1039  L 5024 1039 <5023, 5> <5025, 5>
1040  L 5025 1040 <5024, 5> <5026, 2>
1042  L 5026 1042 <5025, 2> <5027, 1>
1043  L 5027 1043 <5026, 1> <5028, 4>
1044  L 5028 1044 <5027, 4> <5029, 4>
1045  L 5029 1045 <5028, 4> <5030, 2>
1046  L 5030 1046 <5029, 2> <5031, 5>
1047  L 5031 1047 <5030, 5> <5032, 2>
1048  L 5032 1048 <5031, 2> <5033, 2>
1049  L 5033 1049 <5032, 2> <5034, 5>
1051  L 5034 1051 <5033, 5> <5035, 5>
1052  L 5035 1052 <5034, 5> <5036, 4>
1053  L 5036 1053 <5035, 4> <5037, 1>
1055  L 5037 1055 <5036, 1> <5038, 2>
1057  L 5038 1057 <5037, 2> <5039, 3>
1059  L 5039 1059 <5038, 3> <5040, 2>
1061  L 5040 1061 <5039, 2> <5041, 2>
1063  L 5041 1063 <5040, 2> <5042, 1>
1065  L 5042 1065 <5041, 1> <5043, 4>
1066  L 5043 1066 <5042, 4> <5044, 1>
1067  L 5044 1067 <5043, 1> <5045, 3>
1069  L 5045 1069 <5044, 3> <5046, 4>
1070  L 5046 1070 <5045, 4> <5047, 5>
1072  L 5047 1072 <5046, 5> <5048, 4>
1074  L 5048 1074 <5047, 4> <5049, 5>
1076  L 5049 1076 <5048, 5> <5050, 5>
1078  L 5050 1078 <5049, 5> <5051, 1>
1080  L 5051 1080 <5050, 1> <5052, 4>
1082  L 5052 1082 <5051, 4> <5053, 3>
1083  L 5053 1083 <5052, 3> <5054, 2>
1085  L 5054 1085 <5053, 2> <5055, 2>
1087  L 5055 1087 <5054, 2> <5056, 5>
1088  L 5056 1088 <5055, 5> <5057, 1>
1090  L 5057 1090 <5056, 1> <5058, 4>
1091  L 5058 1091 <5057, 4> <5059, 4>
1093  L 5059 1093 <5058, 4> <5060, 3>
1094  L 5060 1094 <5059, 3> <5061, 4>
1095  L 5061 1095 <5060, 4> <5062, 2>
1096  L 5062 1096 <5061, 2> <5063, 6>
1097  L 5063 1097 <5062, 6> <5064, 5>
1098  L 5064 1098 <5063, 5> <5065, 2>
1099  L 5065 1099 <5064, 2> <5066, 2>
1100  L 5066 1100 <5065, 2> <5067, 1>
1101  L 5067 1101 <5066, 1> <5068, 5>
1102  L 5068 1102 <5067, 5> <5069, 5>
1104  L 5069 1104 <5068, 5> <5070, 5>
1106  L 5070 1106 <5069, 5> <5071, 1>
1107  L 5071 1107 <5070, 1> <5072, 5>
1109  L 5072 1109 <5071, 5> <5073, 4>
1111  L 5073 1111 <5072, 4> <5074, 1>
1112  L 5074 1112 <5073, 1> <5075, 2>
1113  L 5075 1113 <5074, 2> <5076, 5>
1114  L 5076 1114 <5075, 5> <5077, 4>
1115  L 5077 1115 <5076, 4> <5078, 3>
1116  L 5078 1116 <5077, 3> <5079, 1>
1118  L 5079 1118 <5078, 1> <5080, 4>
1120  L 5080 1120 <5079, 4> <5081, 2>
1121  L 5081 1121 <5080, 2> <5082, 3>
1122  L 5082 1122 <5081, 3> <5083, 1>
1123  L 5083 1123 <5082, 1> <5084, 3>
1125  L 5084 1125 <5083, 3> <5085, 4>
1127  L 5085 1127 <5084, 4> <5086, 5>
1128  L 5086 1128 <5085, 5> <5087, 3>
1130  L 5087 1130 <5086, 3> <5088, 5>
1131  L 5088 1131 <5087, 5> <5089, 4>
1132  L 5089 1132 <5088, 4> <5090, 1>
1133  L 5090 1133 <5089, 1> <5091, 3>
1134  L 5091 1134 <5090, 3> <5092, 6>
1136  L 5092 1136 <5091, 6> <5093, 4>
1138  L 5093 1138 <5092, 4> <5094, 4>
1139  L 5094 1139 <5093, 4> <5095, 3>
1141  L 5095 1141 <5094, 3> <5096, 3>
1142  L 5096 1142 <5095, 3> <5097, 3>
1144  L 5097 1144 <5096, 3> <5098, 5>
1145  L 5098 1145 <5097, 5> <5099, 4>
1146  L 5099 1146 <5098, 4> <5100, 3>
1147  L 5100 1147 <5099, 3> <5101, 2>
1149  L 5101 1149 <5100, 2> <5102, 5>
1151  L 5102 1151 <5101, 5> <5103, 5>
1152  L 5103 1152 <5102, 5> <5104, 6>
1153  L 5104 1153 <5103, 6> <5105, 1>
1154  L 5105 1154 <5104, 1> <5106, 5>
1156  L 5106 1156 <5105, 5> <5107, 3>
1158  L 5107 1158 <5106, 3> <5108, 6>
1160  L 5108 1160 <5107, 6> <5109, 3>
1162  L 5109 1162 <5108, 3> <5110, 6>
1164  L 5110 1164 <5109, 6> <5111, 3>
1165  L 5111 1165 <5110, 3> <5112, 1>
1167  L 5112 1167 <5111, 1> <5113, 6>
1168  L 5113 1168 <5112, 6> <5114, 5>
1170  L 5114 1170 <5113, 5> <5115, 1>
1171  L 5115 1171 <5114, 1> <5116, 1>
1172  L 5116 1172 <5115, 1> <5117, 2>
1174  L 5117 1174 <5116, 2> <5118, 1>
1176  L 5118 1176 <5117, 1> <5119, 1>
1177  L 5119 1177 <5118, 1> <5120, 5>
1178  L 5120 1178 <5119, 5> <5121, 1>
1179  L 5121 1179 <5120, 1> <5122, 1>
1180  L 5122 1180 <5121, 1> <5123, 3>
1181  L 5123 1181 <5122, 3> <5124, 3>
1182  L 5124 1182 <5123, 3> <5125, 3>
1183  L 5125 1183 <5124, 3> <5126, 5>
1185  L 5126 1185 <5125, 5> <5127, 2>
1186  L 5127 1186 <5126, 2> <5128, 1>
1188  L 5128 1188 <5127, 1> <5129, 1>
1189  L 5129 1189 <5128, 1> <5130, 4>
1190  L 5130 1190 <5129, 4> <5131, 5>
1192  L 5131 1192 <5130, 5> <5132, 3>
1193  L 5132 1193 <5131, 3> <5133, 5>
1194  L 5133 1194 <5132, 5> <5134, 5>
1196  L 5134 1196 <5133, 5> <5135, 4>
1197  L 5135 1197 <5134, 4> <5136, 4>
1199  L 5136 1199 <5135, 4> <5137, 1>
1201  L 5137 1201 <5136, 1> <5138, 5>
1203  L 5138 1203 <5137, 5> <5139, 5>
1205  L 5139 1205 <5138, 5> <5140, 3>
1206  L 5140 1206 <5139, 3> <5141, 1>
1208  L 5141 1208 <5140, 1> <5142, 2>
1209  L 5142 1209 <5141, 2> <5143, 1>
1210  L 5143 1210 <5142, 1> <5144, 1>
1211  L 5144 1211 <5143, 1> <5145, 1>
1212  L 5145 1212 <5144, 1> <5146, 5>
1213  L 5146 1213 <5145, 5> <5147, 2>
1214  L 5147 1214 <5146, 2> <5148, 4>
1215  L 5148 1215 <5147, 4> <5149, 1>
1216  L 5149 1216 <5148, 1> <5150, 1>
1218  L 5150 1218 <5149, 1> <5151, 2>
1220  L 5151 1220 <5150, 2> <5152, 5>
1222  L 5152 1222 <5151, 5> <5153, 2>
1223  L 5153 1223 <5152, 2> <5154, 4>
1224  L 5154 1224 <5153, 4> <5155, 6>
1225  L 5155 1225 <5154, 6> <5156, 3>
1226  L 5156 1226 <5155, 3> <5157, 2>
1228  L 5157 1228 <5156, 2> <5158, 5>
1230  L 5158 1230 <5157, 5> <5159, 4>
1232  L 5159 1232 <5158, 4> <5160, 4>
1234  L 5160 1234 <5159, 4> <5161, 5>
1235  L 5161 1235 <5160, 5> <5162, 4>
1237  L 5162 1237 <5161, 4> <5163, 1>
1239  L 5163 1239 <5162, 1> <5164, 3>
1241  L 5164 1241 <5163, 3> <5165, 1>
1243  L 5165 1243 <5164, 1> <5166, 2>
1245  L 5166 1245 <5165, 2> <5167, 4>
1246  L 5167 1246 <5166, 4> <5168, 3>
1248  L 5168 1248 <5167, 3> <5169, 5>
1250  L 5169 1250 <5168, 5> <5170, 4>
1252  L 5170 1252 <5169, 4> <5171, 2>
1254  L 5171 1254 <5170, 2> <5172, 4>
1256  L 5172 1256 <5171, 4> <5173, 1>
1257  L 5173 1257 <5172, 1> <5174, 1>
1259  L 5174 1259 <5173, 1> <5175, 3>
1260  L 5175 1260 <5174, 3> <5176, 1>
1262  L 5176 1262 <5175, 1> <5177, 2>
1263  L 5177 1263 <5176, 2> <5178, 2>
1265  L 5178 1265 <5177, 2> <5179, 5>
1266  L 5179 1266 <5178, 5> <5180, 1>
1267  L 5180 1267 <5179, 1> <5181, 5>
1269  L 5181 1269 <5180, 5> <5182, 2>
1271  L 5182 1271 <5181, 2> <5183, 1>
1272  L 5183 1272 <5182, 1> <5184, 6>
1273  L 5184 1273 <5183, 6> <5185, 3>
1274  L 5185 1274 <5184, 3> <5186, 1>
1276  L 5186 1276 <5185, 1> <5187, 6>
1278  L 5187 1278 <5186, 6> <5188, 2>
1280  L 5188 1280 <5187, 2> <5189, 2>
1282  L 5189 1282 <5188, 2> <5190, 5>
1284  L 5190 1284 <5189, 5> <5191, 3>
1285  L 5191 1285 <5190, 3> <5192, 5>
1286  L 5192 1286 <5191, 5> <5193, 2>
1287  L 5193 1287 <5192, 2> <5194, 1>
1288  L 5194 1288 <5193, 1> <5195, 1>
1289  L 5195 1289 <5194, 1> <5196, 2>
1291  L 5196 1291 <5195, 2> <5197, 4>
1292  L 5197 1292 <5196, 4> <5198, 4>
1293  L 5198 1293 <5197, 4> <5199, 4>
1294  L 5199 1294 <5198, 4> <5200, 2>
1296  L 5200 1296 <5199, 2> <5201, 4>
1298  L 5201 1298 <5200, 4> <5202, 2>
1299  L 5202 1299 <5201, 2> <5203, 5>
1300  L 5203 1300 <5202, 5> <5204, 3>
1301  L 5204 1301 <5203, 3> <5205, 4>
1303  L 5205 1303 <5204, 4> <5206, 3>
1304  L 5206 1304 <5205, 3> <5207, 5>
1306  L 5207 1306 <5206, 5> <5208, 4>
1307  L 5208 1307 <5207, 4> <5209, 2>
1309  L 5209 1309 <5208, 2> <5210, 2>
1311  L 5210 1311 <5209, 2> <5211, 5>
1313  L 5211 1313 <5210, 5> <5212, 2>
1315  L 5212 1315 <5211, 2> <5213, 6>
1317  L 5213 1317 <5212, 6> <5214, 5>
1318  L 5214 1318 <5213, 5> <5215, 5>
1319  L 5215 1319 <5214, 5> <5216, 5>
1320  L 5216 1320 <5215, 5> <5217, 5>
1322  L 5217 1322 <5216, 5> <5218, 3>
1323  L 5218 1323 <5217, 3> <5219, 4>
1324  L 5219 1324 <5218, 4> <5220, 4>
1325  L 5220 1325 <5219, 4> <5221, 4>
1327  L 5221 1327 <5220, 4> <5222, 4>
1328  L 5222 1328 <5221, 4> <5223, 6>
1330  L 5223 1330 <5222, 6> <5224, 3>
1332  L 5224 1332 <5223, 3> <5225, 5>
1334  L 5225 1334 <5224, 5> <5226, 5>
1335  L 5226 1335 <5225, 5> <5227, 2>
1336  L 5227 1336 <5226, 2> <5228, 5>
1338  L 5228 1338 <5227, 5> <5229, 4>
1339  L 5229 1339 <5228, 4> <5230, 4>
1340  L 5230 1340 <5229, 4> <5231, 4>
1341  L 5231 1341 <5230, 4> <5232, 3>
1342  L 5232 1342 <5231, 3> <5233, 2>
1344  L 5233 1344 <5232, 2> <5234, 4>
1345  L 5234 1345 <5233, 4> <5235, 2>
1346  L 5235 1346 <5234, 2> <5236, 3>
1347  L 5236 1347 <5235, 3> <5237, 2>
1349  L 5237 1349 <5236, 2> <5238, 1>
1350  L 5238 1350 <5237, 1> <5239, 2>
1352  L 5239 1352 <5238, 2> <5240, 1>
1354  L 5240 1354 <5239, 1> <5241, 4>
1356  L 5241 1356 <5240, 4> <5242, 2>
1358  L 5242 1358 <5241, 2> <5243, 5>
1359  L 5243 1359 <5242, 5> <5244, 5>
1361  L 5244 1361 <5243, 5> <5245, 3>
1363  L 5245 1363 <5244, 3> <5246, 2>
1365  L 5246 1365 <5245, 2> <5247, 4>
1367  L 5247 1367 <5246, 4> <5248, 5>
1369  L 5248 1369 <5247, 5> <5249, 3>
1370  L 5249 1370 <5248, 3> <5250, 2>
1371  L 5250 1371 <5249, 2> <5251, 1>
1372  L 5251 1372 <5250, 1> <5252, 3>
1373  L 5252 1373 <5251, 3> <5253, 2>
1375  L 5253 1375 <5252, 2> <5254, 6>
1376  L 5254 1376 <5253, 6> <5255, 6>
1377  L 5255 1377 <5254, 6> <5256, 4>
1378  L 5256 1378 <5255, 4> <5257, 6>
1379  L 5257 1379 <5256, 6> <5258, 2>
1380  L 5258 1380 <5257, 2> <5259, 1>
1382  L 5259 1382 <5258, 1> <5260, 5>
1383  L 5260 1383 <5259, 5> <5261, 6>
1384  L 5261 1384 <5260, 6> <5262, 3>
1386  L 5262 1386 <5261, 3> <5263, 3>
1388  L 5263 1388 <5262, 3> <5264, 2>
1390  L 5264 1390 <5263, 2> <5265, 6>
1392  L 5265 1392 <5264, 6> <5266, 5>
1393  L 5266 1393 <5265, 5> <5267, 4>
1394  L 5267 1394 <5266, 4> <5268, 3>
1396  L 5268 1396 <5267, 3> <5269, 1>
1398  L 5269 1398 <5268, 1> <5270, 1>
1399  L 5270 1399 <5269, 1> <5271, 4>
1400  L 5271 1400 <5270, 4> <5272, 4>
1402  L 5272 1402 <5271, 4> <5273, 4>
1403  L 5273 1403 <5272, 4> <5274, 2>
1404  L 5274 1404 <5273, 2> <5275, 5>
1405  L 5275 1405 <5274, 5> <5276, 1>
1406  L 5276 1406 <5275, 1> <5277, 6>
1407  L 5277 1407 <5276, 6> <5278, 3>
1408  L 5278 1408 <5277, 3> <5279, 6>
1409  L 5279 1409 <5278, 6> <5280, 3>
1410  L 5280 1410 <5279, 3> <5281, 2>
1411  L 5281 1411 <5280, 2> <5282, 2>
1412  L 5282 1412 <5281, 2> <5283, 2>
1414  L 5283 1414 <5282, 2> <5284, 4>
1415  L 5284 1415 <5283, 4> <5285, 2>
1417  L 5285 1417 <5284, 2> <5286, 3>
1419  L 5286 1419 <5285, 3> <5287, 5>
1420  L 5287 1420 <5286, 5> <5288, 1>
1421  L 5288 1421 <5287, 1> <5289, 3>
1422  L 5289 1422 <5288, 3> <5290, 1>
1424  L 5290 1424 <5289, 1> <5291, 2>
1426  L 5291 1426 <5290, 2> <5292, 1>
1428  L 5292 1428 <5291, 1> <5293, 4>
1429  L 5293 1429 <5292, 4> <5294, 5>
1431  L 5294 1431 <5293, 5> <5295, 1>
1433  L 5295 1433 <5294, 1> <5296, 1>
1434  L 5296 1434 <5295, 1> <5297, 1>
1436  L 5297 1436 <5296, 1> <5298, 4>
1437  L 5298 1437 <5297, 4> <5299, 3>
1438  L 5299 1438 <5298, 3> <5300, 5>
1439  L 5300 1439 <5299, 5> <5301, 4>
1440  L 5301 1440 <5300, 4> <5302, 6>
1441  L 5302 1441 <5301, 6> <5303, 4>
1442  L 5303 1442 <5302, 4> <5304, 3>
1444  L 5304 1444 <5303, 3> <5305, 5>
1445  L 5305 1445 <5304, 5> <5306, 6>
1446  L 5306 1446 <5305, 6> <5307, 2>
1447  L 5307 1447 <5306, 2> <5308, 4>
1449  L 5308 1449 <5307, 4> <5309, 2>
1451  L 5309 1451 <5308, 2> <5310, 1>
1452  L 5310 1452 <5309, 1> <5311, 3>
1453  L 5311 1453 <5310, 3> <5312, 2>
1454  L 5312 1454 <5311, 2> <5313, 6>
1455  L 5313 1455 <5312, 6> <5314, 6>
1457  L 5314 1457 <5313, 6> <5315, 5>
1458  L 5315 1458 <5314, 5> <5316, 2>
1459  L 5316 1459 <5315, 2> <5317, 5>
1460  L 5317 1460 <5316, 5> <5318, 4>
1461  L 5318 1461 <5317, 4> <5319, 2>
1463  L 5319 1463 <5318, 2> <5320, 4>
1464  L 5320 1464 <5319, 4> <5321, 3>
1465  L 5321 1465 <5320, 3> <5322, 4>
1467  L 5322 1467 <5321, 4> <5323, 5>
1469  L 5323 1469 <5322, 5> <5324, 3>
1470  L 5324 1470 <5323, 3> <5325, 3>
1471  L 5325 1471 <5324, 3> <5326, 2>
1472  L 5326 1472 <5325, 2> <5327, 3>
1474  L 5327 1474 <5326, 3> <5328, 5>
1476  L 5328 1476 <5327, 5> <5329, 6>
1478  L 5329 1478 <5328, 6> <5330, 2>
1479  L 5330 1479 <5329, 2> <5331, 6>
1480  L 5331 1480 <5330, 6> <5332, 4>
1482  L 5332 1482 <5331, 4> <5333, 1>
1483  L 5333 1483 <5332, 1> <5334, 1>
1485  L 5334 1485 <5333, 1> <5335, 1>
1486  L 5335 1486 <5334, 1> <5336, 2>
1487  L 5336 1487 <5335, 2> <5337, 5>
1489  L 5337 1489 <5336, 5> <5338, 3>
1491  L 5338 1491 <5337, 3> <5339, 2>
1493  L 5339 1493 <5338, 2> <5340, 2>
1495  L 5340 1495 <5339, 2> <5341, 5>
1496  L 5341 1496 <5340, 5> <5342, 6>
1497  L 5342 1497 <5341, 6> <5343, 5>
1498  L 5343 1498 <5342, 5> <5344, 5>
1499  L 5344 1499 <5343, 5> <5345, 2>
1500  L 5345 1500 <5344, 2> <5346, 2>
1501  L 5346 1501 <5345, 2> <5347, 2>
1503  L 5347 1503 <5346, 2> <5348, 1>
1504  L 5348 1504 <5347, 1> <5349, 1>
1506  L 5349 1506 <5348, 1> <5350, 3>
1507  L 5350 1507 <5349, 3> <5351, 4>
1508  L 5351 1508 <5350, 4> <5352, 2>
1510  L 5352 1510 <5351, 2> <5353, 1>
1511  L 5353 1511 <5352, 1> <5354, 6>
1512  L 5354 1512 <5353, 6> <5355, 5>
1513  L 5355 1513 <5354, 5> <5356, 3>
1514  L 5356 1514 <5355, 3> <5357, 4>
1515  L 5357 1515 <5356, 4> <5358, 2>
1517  L 5358 1517 <5357, 2> <5359, 4>
1519  L 5359 1519 <5358, 4> <5360, 6>
1521  L 5360 1521 <5359, 6> <5361, 2>
1522  L 5361 1522 <5360, 2> <5362, 3>
1523  L 5362 1523 <5361, 3> <5363, 4>
1525  L 5363 1525 <5362, 4> <5364, 2>
1527  L 5364 1527 <5363, 2> <5365, 6>
1529  L 5365 1529 <5364, 6> <5366, 1>
1531  L 5366 1531 <5365, 1> <5367, 6>
1533  L 5367 1533 <5366, 6> <5368, 4>
1535  L 5368 1535 <5367, 4> <5369, 3>
1536  L 5369 1536 <5368, 3> <5370, 2>
1537  L 5370 1537 <5369, 2> <5371, 2>
1539  L 5371 1539 <5370, 2> <5372, 1>
1540  L 5372 1540 <5371, 1> <5373, 5>
1541  L 5373 1541 <5372, 5> <5374, 4>
1542  L 5374 1542 <5373, 4> <5375, 1>
1544  L 5375 1544 <5374, 1> <5376, 2>
1545  L 5376 1545 <5375, 2> <5377, 4>
1546  L 5377 1546 <5376, 4> <5378, 5>
1547  L 5378 1547 <5377, 5> <5379, 1>
1549  L 5379 1549 <5378, 1> <5380, 2>
1551  L 5380 1551 <5379, 2> <5381, 5>
1553  L 5381 1553 <5380, 5> <5382, 1>
1554  L 5382 1554 <5381, 1> <5383, 5>
1555  L 5383 1555 <5382, 5> <5384, 4>
1557  L 5384 1557 <5383, 4> <5385, 1>
1559  L 5385 1559 <5384, 1> <5386, 1>
1561  L 5386 1561 <5385, 1> <5387, 2>
1563  L 5387 1563 <5386, 2> <5388, 2>
1564  L 5388 1564 <5387, 2> <5389, 5>
1566  L 5389 1566 <5388, 5> <5390, 2>
1567  L 5390 1567 <5389, 2> <5391, 2>
1569  L 5391 1569 <5390, 2> <5392, 3>
1570  L 5392 1570 <5391, 3> <5393, 1>
1571  L 5393 1571 <5392, 1> <5394, 1>
1573  L 5394 1573 <5393, 1> <5395, 5>
1574  L 5395 1574 <5394, 5> <5396, 3>
1575  L 5396 1575 <5395, 3> <5397, 4>
1577  L 5397 1577 <5396, 4> <5398, 5>
1578  L 5398 1578 <5397, 5> <5399, 5>
1579  L 5399 1579 <5398, 5> <5400, 3>
1580  L 5400 1580 <5399, 3> <5401, 5>
1582  L 5401 1582 <5400, 5> <5402, 3>
1583  L 5402 1583 <5401, 3> <5403, 1>
1584  L 5403 1584 <5402, 1> <5404, 1>
1585  L 5404 1585 <5403, 1> <5405, 3>
1587  L 5405 1587 <5404, 3> <5406, 2>
1588  L 5406 1588 <5405, 2> <5407, 2>
1590  L 5407 1590 <5406, 2> <5408, 4>
1592  L 5408 1592 <5407, 4> <5409, 5>
1594  L 5409 1594 <5408, 5> <5410, 4>
1595  L 5410 1595 <5409, 4> <5411, 2>
1597  L 5411 1597 <5410, 2> <5412, 2>
1598  L 5412 1598 <5411, 2> <5413, 3>
1600  L 5413 1600 <5412, 3> <5414, 3>
1602  L 5414 1602 <5413, 3> <5415, 1>
1604  L 5415 1604 <5414, 1> <5416, 4>
1605  L 5416 1605 <5415, 4> <5417, 5>
1607  L 5417 1607 <5416, 5> <5418, 6>
1608  L 5418 1608 <5417, 6> <5419, 6>
1609  L 5419 1609 <5418, 6> <5420, 3>
1610  L 5420 1610 <5419, 3> <5421, 3>
1612  L 5421 1612 <5420, 3> <5422, 6>
1613  L 5422 1613 <5421, 6> <5423, 4>
1615  L 5423 1615 <5422, 4> <5424, 6>
1616  L 5424 1616 <5423, 6> <5425, 1>
1617  L 5425 1617 <5424, 1> <5426, 2>
1619  L 5426 1619 <5425, 2> <5427, 1>
1621  L 5427 1621 <5426, 1> <5428, 5>
1622  L 5428 1622 <5427, 5> <5429, 1>
1623  L 5429 1623 <5428, 1> <5430, 2>
1624  L 5430 1624 <5429, 2> <5431, 4>
1626  L 5431 1626 <5430, 4> <5432, 5>
1627  L 5432 1627 <5431, 5> <5433, 2>
1628  L 5433 1628 <5432, 2> <5434, 4>
1629  L 5434 1629 <5433, 4> <5435, 3>
1630  L 5435 1630 <5434, 3> <5436, 2>
1632  L 5436 1632 <5435, 2> <5437, 5>
1634  L 5437 1634 <5436, 5> <5438, 3>
1636  L 5438 1636 <5437, 3> <5439, 4>
1637  L 5439 1637 <5438, 4> <5440, 5>
1638  L 5440 1638 <5439, 5> <5441, 2>
1639  L 5441 1639 <5440, 2> <5442, 5>
1640  L 5442 1640 <5441, 5> <5443, 6>
1642  L 5443 1642 <5442, 6> <5444, 3>
1643  L 5444 1643 <5443, 3> <5445, 6>
1644  L 5445 1644 <5444, 6> <5446, 1>
1646  L 5446 1646 <5445, 1> <5447, 1>
1648  L 5447 1648 <5446, 1> <5448, 3>
1649  L 5448 1649 <5447, 3> <5449, 1>
1651  L 5449 1651 <5448, 1> <5450, 6>
